algorithm,matrix,time_ns,flops
cusparse2,m133-b3,4779878.0,1340285254.1424696
cusparse2,m133-b3,4581081.0,1398447222.3913963
cusparse2,m133-b3,4704399.0,1361789252.9949098
cusparse2,m133-b3,4607267.0,1390498966.089875
cusparse2,m133-b3,4613853.0,1388514111.7413146
cusparse2,m133-b3,4723762.0,1356207192.4876823
cusparse2,m133-b3,4558282.0,1405441787.0592473
cusparse2,m133-b3,4760353.0,1345782550.1596205
cusparse2,m133-b3,4565431.0,1403241008.351676
cusparse2,m133-b3,4696266.0,1364147601.520016
cusparse2,webbase-1M,20061794.0,6931004774.548079
cusparse2,webbase-1M,20131697.0,6906938347.025588
cusparse2,webbase-1M,20195509.0,6885114408.356828
cusparse2,webbase-1M,20049215.0,6935353329.294938
cusparse2,webbase-1M,20039286.0,6938789635.51895
cusparse2,webbase-1M,20073957.0,6926805213.341844
cusparse2,webbase-1M,20266376.0,6861038697.79185
cusparse2,webbase-1M,20200213.0,6883511079.80891
cusparse2,webbase-1M,20329314.0,6839797447.174066
cusparse2,webbase-1M,20203182.0,6882499499.336292
cusparse2,mc2depi,4323339.0,3882036546.2898006
cusparse2,mc2depi,4354245.0,3854482235.1521335
cusparse2,mc2depi,4314231.0,3890232117.8444085
cusparse2,mc2depi,4366275.0,3843862331.163291
cusparse2,mc2depi,4504726.0,3725722718.762473
cusparse2,mc2depi,4403781.0,3811125030.967707
cusparse2,mc2depi,4459792.0,3763260708.1227107
cusparse2,mc2depi,4453290.0,3768755234.8937526
cusparse2,mc2depi,4534746.0,3701058449.580197
cusparse2,mc2depi,4399214.0,3815081512.2883315
cusparse2,mario002,6793370.0,3777024952.2696395
cusparse2,mario002,6814129.0,3765518380.999244
cusparse2,mario002,6931397.0,3701811914.6832886
cusparse2,mario002,6798110.0,3774391411.7306137
cusparse2,mario002,6929351.0,3702904932.9439363
cusparse2,mario002,7106092.0,3610807177.8412104
cusparse2,mario002,6740369.0,3806724527.989491
cusparse2,mario002,6933854.0,3700500183.5919824
cusparse2,mario002,6789055.0,3779425560.7002745
cusparse2,mario002,6183889.0,4149286638.230408
cusparse2,majorbasis,7134244.0,5376340926.943346
cusparse2,majorbasis,7293504.0,5258943849.211573
cusparse2,majorbasis,7055560.0,5436298181.859413
cusparse2,majorbasis,6719125.0,5708500437.184901
cusparse2,majorbasis,7282001.0,5267251130.561503
cusparse2,majorbasis,7112871.0,5392495941.512225
cusparse2,majorbasis,7187732.0,5336332517.684299
cusparse2,majorbasis,7090720.0,5409341787.575873
cusparse2,majorbasis,7059686.0,5433120963.170317
cusparse2,majorbasis,7207420.0,5321755635.164872
cusparse2,shipsec1,55141154.0,16344934964.54572
cusparse2,shipsec1,55223028.0,16320701863.722504
cusparse2,shipsec1,55173208.0,16335439041.355
cusparse2,shipsec1,55212645.0,16323771049.186287
cusparse2,shipsec1,55058583.0,16369447357.55368
cusparse2,shipsec1,55136466.0,16346324699.156452
cusparse2,shipsec1,55133990.0,16347058792.588745
cusparse2,shipsec1,55174107.0,16335172873.753988
cusparse2,shipsec1,55117241.0,16352026328.74893
cusparse2,shipsec1,55338412.0,16286672194.35209
cusparse2,rma10,19209613.0,16291870013.206408
cusparse2,rma10,19166454.0,16328556028.152103
cusparse2,rma10,19308909.0,16208089126.112719
cusparse2,rma10,19364080.0,16161909990.04342
cusparse2,rma10,19282354.0,16230410353.42469
cusparse2,rma10,19221098.0,16282135286.964355
cusparse2,rma10,19234564.0,16270736264.154469
cusparse2,rma10,19297817.0,16217405212.206127
cusparse2,rma10,19262265.0,16247337371.799213
cusparse2,rma10,19146822.0,16345298347.684017
cusparse2,pdb1HYS,55571011.0,19986055643.29215
cusparse2,pdb1HYS,55575553.0,19984422251.272964
cusparse2,pdb1HYS,55567947.0,19987157668.430687
cusparse2,pdb1HYS,55617882.0,19969212743.48419
cusparse2,pdb1HYS,55546814.0,19994761859.789116
cusparse2,pdb1HYS,55544156.0,19995718685.50852
cusparse2,pdb1HYS,55488831.0,20015655366.752995
cusparse2,pdb1HYS,55552544.0,19992699488.253857
cusparse2,pdb1HYS,55722305.0,19931790653.670914
cusparse2,pdb1HYS,55590232.0,19979145221.0525
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
