algorithm,matrix,time_ns,flops
cusparse2,m133-b3,4638822.0,1381040272.7244115
cusparse2,m133-b3,4450425.0,1439502968.8175848
cusparse2,m133-b3,4617194.0,1387509383.404726
cusparse2,m133-b3,4755820.0,1347065280.014803
cusparse2,m133-b3,4574019.0,1400606337.6649725
cusparse2,m133-b3,4780909.0,1339996222.4756842
cusparse2,m133-b3,4450148.0,1439592570.8538232
cusparse2,m133-b3,4721509.0,1356854344.6597264
cusparse2,m133-b3,4588705.0,1396123742.9732354
cusparse2,m133-b3,4798191.0,1335169858.8072045
cusparse2,webbase-1M,17264048.0,8054217064.271369
cusparse2,webbase-1M,17281992.0,8045854320.4973135
cusparse2,webbase-1M,17317047.0,8029567050.317529
cusparse2,webbase-1M,17172930.0,8096952005.278074
cusparse2,webbase-1M,17602084.0,7899541327.038321
cusparse2,webbase-1M,17176461.0,8095287498.396789
cusparse2,webbase-1M,17221345.0,8074188746.581641
cusparse2,webbase-1M,17507525.0,7942207136.645529
cusparse2,webbase-1M,17366342.0,8006774829.149397
cusparse2,webbase-1M,17648920.0,7878577839.32388
cusparse2,mc2depi,4324299.0,3881174729.129507
cusparse2,mc2depi,4455783.0,3766646625.2957115
cusparse2,mc2depi,4172823.0,4022063720.411817
cusparse2,mc2depi,4306265.0,3897428514.0371065
cusparse2,mc2depi,4494521.0,3734182129.7530932
cusparse2,mc2depi,4420942.0,3796331189.1447573
cusparse2,mc2depi,4391987.0,3821359216.227188
cusparse2,mc2depi,4254442.0,3944902762.8064976
cusparse2,mc2depi,4234302.0,3963666266.6007295
cusparse2,mc2depi,4682431.0,3584326175.868902
cusparse2,mario002,6250070.0,4105350500.074399
cusparse2,mario002,6207283.0,4133648812.2097864
cusparse2,mario002,6272618.0,4090593114.390196
cusparse2,mario002,6189318.0,4145647064.830083
cusparse2,mario002,6175522.0,4154908362.402401
cusparse2,mario002,6282461.0,4084184207.4308143
cusparse2,mario002,6402902.0,4007359163.079491
cusparse2,mario002,6168130.0,4159887680.7071185
cusparse2,mario002,6192746.0,4143352238.247782
cusparse2,mario002,6318340.0,4060991969.4096866
