algorithm,matrix,time_ns,flops
opsparse,m133-b3,1162961.0,5508697196.208644
opsparse,m133-b3,1167368.0,5487900987.520645
opsparse,m133-b3,1175459.0,5450126291.091394
opsparse,m133-b3,1183882.0,5411350117.6637535
opsparse,m133-b3,1232919.0,5196123995.169188
opsparse,m133-b3,1175261.0,5451044491.3938265
opsparse,m133-b3,1333473.0,4804296749.915446
opsparse,m133-b3,1351643.0,4739713075.124126
opsparse,m133-b3,1360739.0,4708029974.888645
opsparse,m133-b3,1340141.0,4780392510.937282
opsparse,webbase-1M,17191925.0,8088005851.584392
opsparse,webbase-1M,17221531.0,8074101541.843172
opsparse,webbase-1M,17269191.0,8051818408.864666
opsparse,webbase-1M,17199507.0,8084440443.554574
opsparse,webbase-1M,17217192.0,8076136340.931786
opsparse,webbase-1M,17271263.0,8050852447.791456
opsparse,webbase-1M,17115682.0,8124034438.125223
opsparse,webbase-1M,17160182.0,8102967089.742988
opsparse,webbase-1M,17260089.0,8056064484.951382
opsparse,webbase-1M,17151468.0,8107083895.092829
opsparse,mc2depi,1792571.0,9362730960.168385
opsparse,mc2depi,2001927.0,8383602399.088478
opsparse,mc2depi,1823551.0,9203669104.949629
opsparse,mc2depi,1808755.0,9278957072.68259
opsparse,mc2depi,1968410.0,8526353757.601314
opsparse,mc2depi,1900756.0,8829834023.93574
opsparse,mc2depi,1947922.0,8616032880.16666
opsparse,mc2depi,1471768.0,11403536426.936853
opsparse,mc2depi,1879471.0,8929831851.62208
opsparse,mc2depi,1854917.0,9048038268.019539
opsparse,mario002,3137089.0,8179152073.785602
opsparse,mario002,3196478.0,8027187423.157613
opsparse,mario002,3209958.0,7993477796.282692
opsparse,mario002,3193077.0,8035737315.448391
opsparse,mario002,3221859.0,7963951246.780197
opsparse,mario002,3317211.0,7735030421.6403475
opsparse,mario002,3149383.0,8147223757.796369
opsparse,mario002,3143812.0,8161661066.2469635
opsparse,mario002,3171028.0,8091611931.525044
opsparse,mario002,3203778.0,8008896995.984117
opsparse,majorbasis,3136637.0,12228424264.586563
opsparse,majorbasis,3091810.0,12405719627.014597
opsparse,majorbasis,3106882.0,12345537423.049862
opsparse,majorbasis,3213190.0,11937086820.26273
opsparse,majorbasis,3166974.0,12111286041.502077
opsparse,majorbasis,3104743.0,12354042830.598217
opsparse,majorbasis,3115815.0,12310142932.106047
opsparse,majorbasis,3093368.0,12399471385.234476
opsparse,majorbasis,3110910.0,12329552446.068834
opsparse,majorbasis,3205959.0,11964010768.696669
opsparse,shipsec1,16896233.0,53341983150.91891
opsparse,shipsec1,16592308.0,54319060133.16532
opsparse,shipsec1,16228277.0,55537539567.50923
opsparse,shipsec1,16223635.0,55553430288.58823
opsparse,shipsec1,16234739.0,55515433663.577835
opsparse,shipsec1,16180966.0,55699923972.40065
opsparse,shipsec1,15978141.0,56406973502.11141
opsparse,shipsec1,16201551.0,55629154023.587
opsparse,shipsec1,15805015.0,57024847872.65308
opsparse,shipsec1,15788187.0,57085628387.85733
opsparse,rma10,5044003.0,62046061035.25315
opsparse,rma10,5028912.0,62232251827.035355
opsparse,rma10,4987547.0,62748384727.00107
opsparse,rma10,5019522.0,62348669454.97997
opsparse,rma10,5085606.0,61538490791.46123
opsparse,rma10,5150003.0,60768997221.94337
opsparse,rma10,4999405.0,62599552946.80067
opsparse,rma10,6371475.0,49119005881.6836
opsparse,rma10,6426065.0,48701735509.989395
opsparse,rma10,6513817.0,48045641748.91619
opsparse,pdb1HYS,16149359.0,68773337567.14432
opsparse,pdb1HYS,16121060.0,68894062673.29816
opsparse,pdb1HYS,16284647.0,68201989149.65735
opsparse,pdb1HYS,16238229.0,68396948829.82621
opsparse,pdb1HYS,16201653.0,68551358185.48885
opsparse,pdb1HYS,16160974.0,68723909709.89743
opsparse,pdb1HYS,16114403.0,68922523409.64789
opsparse,pdb1HYS,16201344.0,68552665630.70323
opsparse,pdb1HYS,16135626.0,68831870421.3893
opsparse,pdb1HYS,16146830.0,68784109202.85901
opsparse,pkustk12,1299246658.0,4126205075.0643535
opsparse,pkustk12,1299795960.0,4124461314.682037
opsparse,pkustk12,1303871832.0,4111568347.769936
opsparse,pkustk12,1303997738.0,4111171360.0227118
opsparse,pkustk12,1298346723.0,4129065109.5208254
opsparse,pkustk12,1300696601.0,4121605415.0356
opsparse,pkustk12,1297155553.0,4132856804.722787
opsparse,pkustk12,1301511287.0,4119025480.260779
opsparse,pkustk12,1308002233.0,4098584863.8073387
opsparse,pkustk12,1304055247.0,4110990056.849946
opsparse,SiO2,2339034398.0,12194160362.236794
opsparse,SiO2,2317663493.0,12306601293.995531
opsparse,SiO2,2396419595.0,11902156284.112675
opsparse,SiO2,2355864658.0,12107045472.728512
opsparse,SiO2,2398730168.0,11890691551.09738
opsparse,SiO2,2372632933.0,12021480501.805037
opsparse,SiO2,2383440095.0,11966971857.960625
opsparse,SiO2,2386800759.0,11950122118.25763
