algorithm,matrix,time_ns,flops
opsparse,m133-b3,1294057.0,4950632004.618035
opsparse,m133-b3,781863.0,8193762845.920576
opsparse,m133-b3,1212550.0,5283410993.361098
opsparse,m133-b3,648281.0,9882134444.785517
opsparse,m133-b3,1226522.0,5223224695.521156
opsparse,m133-b3,754129.0,8495098318.722659
opsparse,m133-b3,919819.0,6964848519.110826
opsparse,m133-b3,910914.0,7032936149.8451
opsparse,m133-b3,869147.0,7370905036.777438
opsparse,m133-b3,1379739.0,4643197010.449078
opsparse,webbase-1M,17178030.0,8094548094.280892
opsparse,webbase-1M,17164550.0,8100905063.051463
opsparse,webbase-1M,17046711.0,8156904284.938016
opsparse,webbase-1M,16981913.0,8188028639.64737
opsparse,webbase-1M,16897415.0,8228974076.804056
opsparse,webbase-1M,17001976.0,8178366443.994511
opsparse,webbase-1M,17059026.0,8151015773.116237
opsparse,webbase-1M,17066096.0,8147639038.242842
opsparse,webbase-1M,16966922.0,8195263112.543336
opsparse,webbase-1M,16961006.0,8198121620.851971
opsparse,mc2depi,1536978.0,10919713880.094574
opsparse,mc2depi,1582781.0,10603715864.671108
opsparse,mc2depi,1806852.0,9288729790.818506
opsparse,mc2depi,1742994.0,9629040604.844307
opsparse,mc2depi,1761040.0,9530368418.6617
opsparse,mc2depi,1680763.0,9985560129.536407
opsparse,mc2depi,1550014.0,10827876393.374512
opsparse,mc2depi,1834751.0,9147486498.167871
opsparse,mc2depi,1884649.0,8905297485.102001
opsparse,mc2depi,1976891.0,8489775106.46768
opsparse,mario002,3419357.0,7503962879.570633
opsparse,mario002,3578685.0,7169876085.768935
opsparse,mario002,3561947.0,7203568160.896274
opsparse,mario002,3711585.0,6913145731.540568
opsparse,mario002,3608785.0,7110073889.134431
opsparse,mario002,3423080.0,7495801441.976233
opsparse,mario002,3407311.0,7530491933.375028
opsparse,mario002,3630948.0,7066674598.479515
opsparse,mario002,3749951.0,6842416874.247157
opsparse,mario002,3705542.0,6924419693.529314
opsparse,majorbasis,2987988.0,12836774444.877289
opsparse,majorbasis,3107088.0,12344718913.658062
opsparse,majorbasis,3162342.0,12129025892.835121
opsparse,majorbasis,3294480.0,11642543891.600496
opsparse,majorbasis,3178745.0,12066437540.601715
opsparse,majorbasis,2950191.0,13001235513.226093
opsparse,majorbasis,2531208.0,15153289654.583899
opsparse,majorbasis,3058535.0,12540686308.968184
opsparse,majorbasis,3134757.0,12235757986.982723
opsparse,majorbasis,3251990.0,11794663575.226246
opsparse,shipsec1,17009509.0,52986748529.895836
opsparse,shipsec1,17234064.0,52296346120.10261
opsparse,shipsec1,17288385.0,52132028295.29768
opsparse,shipsec1,17156640.0,52532347592.5356
opsparse,shipsec1,17237765.0,52285117937.27319
opsparse,shipsec1,17004656.0,53001870546.51385
opsparse,shipsec1,17259663.0,52218781791.97357
opsparse,shipsec1,17306671.0,52076946282.73687
opsparse,shipsec1,16677153.0,54042711966.484924
opsparse,shipsec1,16530524.0,54522081453.67926
opsparse,rma10,4346439.0,72003890541.19937
opsparse,rma10,4525870.0,69149250420.36116
opsparse,rma10,4455446.0,70242242415.23744
opsparse,rma10,4549679.0,68787384340.7414
opsparse,rma10,4387147.0,71335771972.08118
opsparse,rma10,4313976.0,72545725335.51416
opsparse,rma10,4366139.0,71679009303.18527
opsparse,rma10,4409633.0,70972010142.34065
