algorithm,matrix,time_ns,flops
proposal,m133-b3,1349302.0,4747936340.418972
proposal,m133-b3,1428251.0,4485486094.531003
proposal,m133-b3,1272812.0,5033264928.36334
proposal,m133-b3,1303522.0,4914684984.219675
proposal,m133-b3,1291739.0,4959515815.501429
proposal,m133-b3,1326562.0,4829325730.723479
proposal,m133-b3,1276322.0,5019422998.271596
proposal,m133-b3,1292368.0,4957102001.906578
proposal,m133-b3,1274252.0,5027576962.798567
proposal,m133-b3,1292312.0,4957316808.94397
proposal,webbase-1M,15232152.0,9128610980.24757
proposal,webbase-1M,15097172.0,9210227584.344934
proposal,webbase-1M,15191361.0,9153122620.152334
proposal,webbase-1M,15233774.0,9127639021.033133
proposal,webbase-1M,15203511.0,9145807833.466888
proposal,webbase-1M,15321066.0,9075634162.79259
proposal,webbase-1M,15256276.0,9114176356.012438
proposal,webbase-1M,15543642.0,8945676309.32313
proposal,webbase-1M,15132054.0,9188996417.802896
proposal,webbase-1M,15232771.0,9128240029.342001
proposal,mc2depi,1569505.0,10693409705.60782
proposal,mc2depi,1333770.0,12583398936.848183
proposal,mc2depi,1377694.0,12182211724.809717
proposal,mc2depi,1369388.0,12256102726.18133
proposal,mc2depi,1324983.0,12666849310.519455
proposal,mc2depi,1413996.0,11869453661.820826
proposal,mc2depi,1879144.0,8931385779.908298
proposal,mc2depi,1883774.0,8909433934.219286
proposal,mc2depi,1818363.0,9229928237.65112
proposal,mc2depi,1831642.0,9163013296.266409
proposal,mario002,2696765.0,9514632531.941048
proposal,mario002,2701626.0,9497512979.220663
proposal,mario002,2665133.0,9627560050.474028
proposal,mario002,2661772.0,9639716700.002855
proposal,mario002,2636849.0,9730829486.254236
proposal,mario002,2703558.0,9490725924.873814
proposal,mario002,2657978.0,9653476439.609358
proposal,mario002,2684618.0,9557683067.01363
proposal,mario002,2629165.0,9759268817.286097
proposal,mario002,2843928.0,9022284671.060589
proposal,majorbasis,3628676.0,10570281832.822771
proposal,majorbasis,3563990.0,10762131206.877686
proposal,majorbasis,3552561.0,10796754228.85068
proposal,majorbasis,3548459.0,10809235220.133585
proposal,majorbasis,3540122.0,10834691007.824024
proposal,majorbasis,3601530.0,10649953769.6479
proposal,majorbasis,3567589.0,10751274319.995941
proposal,majorbasis,3574247.0,10731247168.984125
proposal,majorbasis,3558211.0,10779610315.408503
proposal,majorbasis,3637138.0,10545689495.421951
proposal,shipsec1,19077425.0,47243198492.45902
proposal,shipsec1,18585339.0,48494061690.23875
proposal,shipsec1,18322085.0,49190830410.403625
proposal,shipsec1,17992732.0,50091257736.73503
proposal,shipsec1,17894564.0,50366053959.18
proposal,shipsec1,17904478.0,50338165457.82568
proposal,shipsec1,17870889.0,50432777910.48895
proposal,shipsec1,17895424.0,50363633518.82582
proposal,shipsec1,17677076.0,50985727277.52033
proposal,shipsec1,18095654.0,49806355492.87138
proposal,rma10,6365754.0,49163149879.80999
proposal,rma10,6214705.0,50358064944.35375
proposal,rma10,6120963.0,51129294197.66138
proposal,rma10,6194409.0,50523063297.886856
proposal,rma10,6260541.0,49989372803.40469
proposal,rma10,6272605.0,49893229049.17495
proposal,rma10,6176071.0,50673076459.127495
proposal,rma10,6231945.0,50218754818.9209
proposal,rma10,6204220.0,50443169004.32287
proposal,rma10,6202635.0,50456059078.11761
proposal,pdb1HYS,19043952.0,58320106981.99618
proposal,pdb1HYS,18950705.0,58607071240.88523
proposal,pdb1HYS,19028198.0,58368391899.222404
proposal,pdb1HYS,18941012.0,58637063214.99612
proposal,pdb1HYS,18949449.0,58610955811.96055
proposal,pdb1HYS,18992518.0,58478044775.31626
