algorithm,matrix,time_ns,flops
proposal,m133-b3,832896.0,7691716612.878439
proposal,m133-b3,843618.0,7593958402.973858
proposal,m133-b3,1115491.0,5743121190.578857
proposal,m133-b3,834287.0,7678892275.679712
proposal,m133-b3,841837.0,7610024268.3559885
proposal,m133-b3,1037621.0,6174123307.064911
proposal,m133-b3,879906.0,7280777719.438213
proposal,m133-b3,882147.0,7262281683.211528
proposal,m133-b3,1223469.0,5236258540.265426
proposal,m133-b3,1287447.0,4976049499.513378
proposal,webbase-1M,13632594.0,10199701538.826727
proposal,webbase-1M,13739814.0,10120107157.200235
proposal,webbase-1M,13588180.0,10233040039.210548
proposal,webbase-1M,14036801.0,9905988551.095081
proposal,webbase-1M,13747291.0,10114602942.499725
proposal,webbase-1M,13596609.0,10226696229.920269
proposal,webbase-1M,13736333.0,10122671749.43997
proposal,webbase-1M,13590599.0,10231218653.423592
proposal,webbase-1M,13717290.0,10136724527.949762
proposal,webbase-1M,13736441.0,10122592161.972668
proposal,mc2depi,1769274.0,9486015167.803291
proposal,mc2depi,1669077.0,10055473773.828289
proposal,mc2depi,1721355.0,9750086414.481615
proposal,mc2depi,1758287.0,9545290387.74671
proposal,mc2depi,1781831.0,9419164892.742353
proposal,mc2depi,1897003.0,8847302824.507921
proposal,mc2depi,1794051.0,9355007187.644053
proposal,mc2depi,1862681.0,9010324365.793177
proposal,mc2depi,1797987.0,9334528002.705248
proposal,mc2depi,1788235.0,9385433122.604132
proposal,mario002,2442428.0,10505418378.760807
proposal,mario002,2504389.0,10245504192.839052
proposal,mario002,2358939.0,10877232518.517859
proposal,mario002,2363411.0,10856650832.208193
proposal,mario002,2371280.0,10820623460.746939
proposal,mario002,2430755.0,10555867621.376896
proposal,mario002,2382188.0,10771076002.397797
proposal,mario002,2359828.0,10873134821.690393
proposal,mario002,2357809.0,10882445524.637491
proposal,mario002,2391331.0,10729893937.727568
proposal,majorbasis,3466430.0,11065023092.92269
proposal,majorbasis,3422986.0,11205458625.889793
proposal,majorbasis,3392112.0,11307447395.604862
proposal,majorbasis,3388585.0,11319216723.204523
proposal,majorbasis,3483945.0,11009395383.68143
proposal,majorbasis,3482909.0,11012670155.895546
proposal,majorbasis,3392902.0,11304814580.556704
proposal,majorbasis,3440360.0,11148870467.044147
