algorithm,matrix,time_ns,flops
cusparse1,m133-b3,4504149.0,1422333053.3692381
cusparse1,m133-b3,4483333.0,1428936909.2146401
cusparse1,m133-b3,4472866.0,1432280779.258757
cusparse1,m133-b3,4450706.0,1439412084.2850552
cusparse1,m133-b3,4501929.0,1423034437.015777
cusparse1,m133-b3,4481053.0,1429663965.143907
cusparse1,m133-b3,4500376.0,1423525500.9803624
cusparse1,m133-b3,4490029.0,1426805929.3158238
cusparse1,m133-b3,4511039.0,1420160632.6170092
cusparse1,m133-b3,4474829.0,1431652472.0832908
cusparse1,webbase-1M,34278853.0,4056389809.775724
cusparse1,webbase-1M,34329059.0,4050457369.076152
cusparse1,webbase-1M,35106156.0,3960797929.571099
cusparse1,webbase-1M,34183550.0,4067698937.0618324
cusparse1,webbase-1M,34238660.0,4061151633.85483
cusparse1,webbase-1M,34980980.0,3974971255.808156
cusparse1,webbase-1M,35274845.0,3941856867.124434
cusparse1,webbase-1M,34214611.0,4064006163.9163456
cusparse1,webbase-1M,34242729.0,4060669054.735678
cusparse1,webbase-1M,35076626.0,3964132411.138973
cusparse1,mc2depi,5744965.0,2921403350.5861216
cusparse1,mc2depi,5688723.0,2950286030.8016405
cusparse1,mc2depi,5727821.0,2930147433.02907
cusparse1,mc2depi,5699748.0,2944579304.207835
cusparse1,mc2depi,5663443.0,2963455269.171068
cusparse1,mc2depi,5747175.0,2920279963.6343074
cusparse1,mc2depi,5677552.0,2956090934.9663377
cusparse1,mc2depi,5725548.0,2931310679.7812195
cusparse1,mc2depi,5747458.0,2920136171.5039935
cusparse1,mc2depi,5683704.0,2952891283.5714173
cusparse1,mario002,7665886.0,3347131433.9921045
cusparse1,mario002,7641791.0,3357685129.0489364
cusparse1,mario002,7665702.0,3347211775.2555475
cusparse1,mario002,7555917.0,3395845666.383048
cusparse1,mario002,7699021.0,3332726069.9769487
cusparse1,mario002,7658360.0,3350420716.706971
cusparse1,mario002,7626425.0,3364450315.842613
cusparse1,mario002,7663905.0,3347996615.302512
cusparse1,mario002,7651270.0,3353525362.456167
cusparse1,mario002,7630825.0,3362510344.5564537
cusparse1,majorbasis,10111904.0,3793165757.902765
cusparse1,majorbasis,10252469.0,3741160104.946428
cusparse1,majorbasis,10111323.0,3793383714.475346
cusparse1,majorbasis,10219189.0,3753343636.1730857
cusparse1,majorbasis,10074910.0,3807093859.895523
cusparse1,majorbasis,10251750.0,3741422488.843368
cusparse1,majorbasis,10105053.0,3795737439.4770617
cusparse1,majorbasis,10215247.0,3754792028.0341725
cusparse1,majorbasis,10074988.0,3807064385.5853724
cusparse1,majorbasis,10254641.0,3740367702.779649
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,shipsec1,0.0,0.0
cusparse1,rma10,48729507.0,6422402713.821833
cusparse1,rma10,48714262.0,6424412587.837213
cusparse1,rma10,48750368.0,6419654473.172387
cusparse1,rma10,48734093.0,6421798349.668681
cusparse1,rma10,48722191.0,6423367085.441622
cusparse1,rma10,48690779.0,6427511007.782398
cusparse1,rma10,48708827.0,6425129432.905457
cusparse1,rma10,48749436.0,6419777205.217307
cusparse1,rma10,48722744.0,6423294180.639744
cusparse1,rma10,48733431.0,6421885584.045991
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pdb1HYS,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,pkustk12,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,SiO2,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,case39,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
cusparse1,gupta3,0.0,0.0
