algorithm,matrix,time_ns,flops
cusparse2,m133-b3,3923081.0,1633002224.5270998
cusparse2,m133-b3,3930851.0,1629774316.04505
cusparse2,m133-b3,3927101.0,1631330592.2103863
cusparse2,m133-b3,3939888.0,1626036070.060875
cusparse2,m133-b3,3929991.0,1630130959.5874393
cusparse2,m133-b3,3926808.0,1631452314.4498024
cusparse2,m133-b3,3942981.0,1624760555.528926
cusparse2,m133-b3,3942694.0,1624878826.5079663
cusparse2,m133-b3,3936111.0,1627596376.2200813
cusparse2,m133-b3,3963164.0,1616486221.6148512
cusparse2,webbase-1M,29985160.0,4637240221.496233
cusparse2,webbase-1M,30682623.0,4531828651.025044
cusparse2,webbase-1M,29992319.0,4636133338.005641
cusparse2,webbase-1M,29972780.0,4639155593.842146
cusparse2,webbase-1M,29903230.0,4649945507.558883
cusparse2,webbase-1M,30508668.0,4557668332.160552
cusparse2,webbase-1M,30509448.0,4557551811.491312
cusparse2,webbase-1M,30057803.0,4626033047.0593605
cusparse2,webbase-1M,30587019.0,4545993514.438266
cusparse2,webbase-1M,30048467.0,4627470346.490555
cusparse2,mc2depi,5365462.0,3128036318.214536
cusparse2,mc2depi,5361224.0,3130509003.167933
cusparse2,mc2depi,5357765.0,3132530075.507231
cusparse2,mc2depi,5357178.0,3132873315.01772
cusparse2,mc2depi,5361988.0,3130062954.2624865
cusparse2,mc2depi,5365731.0,3127879500.481854
cusparse2,mc2depi,5344288.0,3140429557.688508
cusparse2,mc2depi,5386421.0,3115864875.7681584
cusparse2,mc2depi,5358225.0,3132261149.914384
cusparse2,mc2depi,5361455.0,3130374124.1883035
cusparse2,mario002,5846920.0,4388417833.662851
cusparse2,mario002,5829961.0,4401183472.753935
cusparse2,mario002,5814134.0,4413164196.07804
cusparse2,mario002,5839037.0,4394342423.245477
cusparse2,mario002,5847937.0,4387654654.966358
cusparse2,mario002,5862114.0,4377043503.418733
cusparse2,mario002,5825787.0,4404336787.458931
cusparse2,mario002,5818201.0,4410079335.5196905
cusparse2,mario002,5856164.0,4381490682.296466
cusparse2,mario002,5849314.0,4386621747.439101
cusparse2,majorbasis,6198227.0,6188241895.625959
cusparse2,majorbasis,6235009.0,6151735787.3902025
cusparse2,majorbasis,6196534.0,6189932630.079977
cusparse2,majorbasis,6242459.0,6144394060.097151
cusparse2,majorbasis,6236143.0,6150617136.265156
cusparse2,majorbasis,6225307.0,6161323128.321221
cusparse2,majorbasis,6103250.0,6284541514.766723
cusparse2,majorbasis,6188879.0,6197588933.310863
cusparse2,majorbasis,6214197.0,6172338598.213092
cusparse2,majorbasis,6229167.0,6157505168.829155
cusparse2,shipsec1,75272980.0,11973467451.401552
cusparse2,shipsec1,74169209.0,12151654145.3206
cusparse2,shipsec1,75251561.0,11976875483.021542
cusparse2,shipsec1,74180951.0,12149730676.814861
cusparse2,shipsec1,75291162.0,11970575988.719633
cusparse2,shipsec1,74178989.0,12150052031.579994
cusparse2,shipsec1,75309860.0,11967603923.31097
cusparse2,shipsec1,74296735.0,12130796541.732285
cusparse2,shipsec1,74193090.0,12147742815.40235
cusparse2,shipsec1,74209529.0,12145051830.20364
cusparse2,rma10,27532804.0,11366823299.217907
cusparse2,rma10,27529993.0,11367983929.382038
cusparse2,rma10,27434089.0,11407724091.002256
cusparse2,rma10,27759630.0,11273944141.18632
cusparse2,rma10,27793342.0,11260269383.940947
cusparse2,rma10,27771539.0,11269109644.949816
cusparse2,rma10,27753313.0,11276510231.409128
cusparse2,rma10,27563814.0,11354035330.524288
cusparse2,rma10,27767836.0,11270612445.276613
cusparse2,rma10,27775788.0,11267385753.376286
cusparse2,pdb1HYS,66185623.0,16780763973.46898
cusparse2,pdb1HYS,66234540.0,16768370671.857918
cusparse2,pdb1HYS,68048755.0,16321317237.91273
cusparse2,pdb1HYS,66259615.0,16762024922.722538
cusparse2,pdb1HYS,66234358.0,16768416748.298521
cusparse2,pdb1HYS,66247898.0,16764989554.838404
cusparse2,pdb1HYS,66218710.0,16772379256.55755
cusparse2,pdb1HYS,67906414.0,16355528919.550959
cusparse2,pdb1HYS,66206439.0,16775487924.97358
cusparse2,pdb1HYS,66251137.0,16764169919.076256
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,pkustk12,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,SiO2,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,case39,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
cusparse2,gupta3,0.0,0.0
