algorithm,matrix,time_ns,flops
opsparse,m133-b3,1573586.0,4071210597.9590564
opsparse,m133-b3,1580421.0,4053603438.577442
opsparse,m133-b3,1586452.0,4038193402.6368275
opsparse,m133-b3,1566626.0,4089297637.087601
opsparse,m133-b3,1639628.0,3907227737.0232763
opsparse,m133-b3,1593515.0,4020294757.1877265
opsparse,m133-b3,1564892.0,4093828839.3064823
opsparse,m133-b3,1561916.0,4101629024.864333
opsparse,m133-b3,1590073.0,4028997410.8106985
opsparse,m133-b3,1572214.0,4074763359.1864724
opsparse,webbase-1M,22572472.0,6160086941.297347
opsparse,webbase-1M,22584435.0,6156823936.48546
opsparse,webbase-1M,22621157.0,6146829271.376349
opsparse,webbase-1M,22542727.0,6168215140.963203
opsparse,webbase-1M,22683365.0,6129971897.908445
opsparse,webbase-1M,22705094.0,6124105454.0448065
opsparse,webbase-1M,22621492.0,6146738243.436816
opsparse,webbase-1M,22714830.0,6121480548.170513
opsparse,webbase-1M,22626509.0,6145375320.602926
opsparse,webbase-1M,22549640.0,6166324163.046506
opsparse,mc2depi,2272115.0,7386668368.458463
opsparse,mc2depi,2287011.0,7338556745.0265875
opsparse,mc2depi,2266846.0,7403837755.189369
opsparse,mc2depi,2292706.0,7320328031.592363
opsparse,mc2depi,2306266.0,7277287181.964266
opsparse,mc2depi,2279902.0,7361439219.755938
opsparse,mc2depi,2262083.0,7419427138.615162
opsparse,mc2depi,2260142.0,7425798909.979992
opsparse,mc2depi,1976894.0,8489762222.961879
opsparse,mc2depi,2247223.0,7468488886.060707
opsparse,mario002,3373386.0,7606223539.197708
opsparse,mario002,3423665.0,7494520637.971296
opsparse,mario002,3370249.0,7613303349.39644
opsparse,mario002,3430702.0,7479147999.447344
opsparse,mario002,3466888.0,7401083623.122523
opsparse,mario002,3379429.0,7592622303.94543
opsparse,mario002,3400473.0,7545634974.899079
opsparse,mario002,3386249.0,7577330550.7066965
opsparse,mario002,3397526.0,7552180027.467045
opsparse,mario002,3396626.0,7554181119.734702
opsparse,majorbasis,3149922.0,12176850093.430885
opsparse,majorbasis,3171627.0,12093517932.594217
opsparse,majorbasis,3161522.0,12132171783.084223
opsparse,majorbasis,3168592.0,12105101571.928478
opsparse,majorbasis,3217011.0,11922908563.259497
opsparse,majorbasis,3139378.0,12217747592.038933
opsparse,majorbasis,3163144.0,12125950636.455374
opsparse,majorbasis,3161168.0,12133530391.298407
opsparse,majorbasis,3139332.0,12217926616.235556
opsparse,majorbasis,3160844.0,12134774129.94757
opsparse,shipsec1,17879347.0,50408920191.54838
opsparse,shipsec1,18010602.0,50041557522.61918
opsparse,shipsec1,17882426.0,50400240772.70053
opsparse,shipsec1,18000671.0,50069165532.77375
opsparse,shipsec1,17995076.0,50084732956.94889
opsparse,shipsec1,17888603.0,50382837385.3453
opsparse,shipsec1,18018982.0,50018284939.73744
opsparse,shipsec1,17937016.0,50246851315.73724
opsparse,shipsec1,17888148.0,50384118914.93742
opsparse,shipsec1,18033319.0,49978518984.774796
opsparse,rma10,6348186.0,49299204213.61315
opsparse,rma10,6329143.0,49447534682.02567
opsparse,rma10,6332292.0,49422944804.187805
opsparse,rma10,6315500.0,49554353257.85765
