algorithm,matrix,time_ns,flops
opsparse,m133-b3,1442813.0,4440215052.123872
opsparse,m133-b3,1443046.0,4439498117.177138
opsparse,m133-b3,1383414.0,4630862489.46447
opsparse,m133-b3,1446932.0,4427575034.624986
opsparse,m133-b3,1509539.0,4243944674.4999633
opsparse,m133-b3,1453269.0,4408268531.152869
opsparse,m133-b3,1441647.0,4443806285.449906
opsparse,m133-b3,1440857.0,4446242756.914808
opsparse,m133-b3,1454477.0,4404607291.830671
opsparse,m133-b3,1440374.0,4447733713.604939
opsparse,webbase-1M,22071197.0,6299993153.973479
opsparse,webbase-1M,22096747.0,6292708605.479349
opsparse,webbase-1M,22092825.0,6293825710.383348
opsparse,webbase-1M,22090605.0,6294458209.723093
opsparse,webbase-1M,22153582.0,6276564665.705076
opsparse,webbase-1M,22102382.0,6291104280.0726185
opsparse,webbase-1M,22090970.0,6294354208.982222
opsparse,webbase-1M,22066634.0,6301295884.093604
opsparse,webbase-1M,22109176.0,6289171066.348198
opsparse,webbase-1M,22173636.0,6270888094.311641
opsparse,mc2depi,2078828.0,8073472167.971568
opsparse,mc2depi,2063338.0,8134081764.596978
opsparse,mc2depi,2039532.0,8229025090.069682
opsparse,mc2depi,2062742.0,8136431991.979609
opsparse,mc2depi,2133220.0,7867617967.204508
opsparse,mc2depi,2070275.0,8106826387.798723
opsparse,mc2depi,2063908.0,8131835333.745496
opsparse,mc2depi,2072121.0,8099604221.95422
opsparse,mc2depi,2062051.0,8139158536.816014
opsparse,mc2depi,2058221.0,8154304129.634282
opsparse,mario002,3085935.0,8314733784.088128
opsparse,mario002,3074579.0,8345444368.15577
opsparse,mario002,3080239.0,8330109449.299227
opsparse,mario002,3093271.0,8295014565.487473
opsparse,mario002,3171251.0,8091042935.422015
opsparse,mario002,3109278.0,8252310665.048285
opsparse,mario002,3082382.0,8324318011.200429
opsparse,mario002,3096785.0,8285602003.36801
opsparse,mario002,3109645.0,8251336728.147426
opsparse,mario002,3077616.0,8337209060.519571
opsparse,majorbasis,2694686.0,14233987930.319155
opsparse,majorbasis,2659196.0,14423956714.736334
opsparse,majorbasis,2685692.0,14281655528.630983
opsparse,majorbasis,2688379.0,14267381198.856264
opsparse,majorbasis,2760189.0,13896196238.735825
opsparse,majorbasis,2686162.0,14279156655.480942
opsparse,majorbasis,2699555.0,14208315074.15111
opsparse,majorbasis,2657489.0,14433221736.759777
opsparse,majorbasis,2662512.0,14405992536.371666
opsparse,majorbasis,2690699.0,14255079442.182125
opsparse,shipsec1,12244312.0,73607939425.26129
opsparse,shipsec1,12340122.0,73036439672.15234
opsparse,shipsec1,12313168.0,73196319257.56232
opsparse,shipsec1,12278317.0,73404081031.62672
opsparse,shipsec1,12357128.0,72935926211.98065
opsparse,shipsec1,12242265.0,73620247233.66142
opsparse,shipsec1,12289360.0,73338121431.87277
opsparse,shipsec1,12168016.0,74069476568.73561
opsparse,shipsec1,12223597.0,73732680814.00262
opsparse,shipsec1,12264416.0,73487280274.90262
opsparse,rma10,4430583.0,70636419180.04921
opsparse,rma10,4476128.0,69917687340.48714
opsparse,rma10,4417093.0,70852145970.21162
opsparse,rma10,4447240.0,70371852654.6802
opsparse,rma10,4519859.0,69241212613.04832
opsparse,rma10,4433886.0,70583798951.98027
opsparse,rma10,4462266.0,70134886176.66449
opsparse,rma10,4420524.0,70797153912.07014
opsparse,rma10,4455796.0,70236724930.85411
opsparse,rma10,4441690.0,70459784001.1347
opsparse,pdb1HYS,12215618.0,90920108831.17007
opsparse,pdb1HYS,12247295.0,90684948635.59668
opsparse,pdb1HYS,12328899.0,90084712187.1953
opsparse,pdb1HYS,12266017.0,90546533402.00002
opsparse,pdb1HYS,12374510.0,89752670449.17334
opsparse,pdb1HYS,12098314.0,91801660793.3965
opsparse,pdb1HYS,12036198.0,92275427672.42613
opsparse,pdb1HYS,12230879.0,90806663854.65836
opsparse,pdb1HYS,12198805.0,91045419448.87224
opsparse,pdb1HYS,12261529.0,90579675503.76466
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,pkustk12,0.0,0.0
opsparse,SiO2,1152422990.0,24750079432.205704
opsparse,SiO2,1149259999.0,24818196549.79569
opsparse,SiO2,1149113732.0,24821355578.40501
opsparse,SiO2,1149344563.0,24816370529.957428
opsparse,SiO2,1150554328.0,24790277041.137688
opsparse,SiO2,1153237819.0,24732592074.315243
opsparse,SiO2,1149792014.0,24806713035.667336
opsparse,SiO2,1149185130.0,24819813446.420074
opsparse,SiO2,1149495604.0,24813109717.64273
opsparse,SiO2,1154111280.0,24713873814.663696
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,case39,0.0,0.0
opsparse,gupta3,2638716304.0,23280995967.954575
opsparse,gupta3,2645197913.0,23223949834.561962
opsparse,gupta3,2631854456.0,23341694862.324104
opsparse,gupta3,2636674759.0,23299022158.235027
opsparse,gupta3,2646399274.0,23213407076.380566
opsparse,gupta3,2641826626.0,23253586374.44515
opsparse,gupta3,2649504377.0,23186201980.748795
opsparse,gupta3,2641144281.0,23259593985.808456
opsparse,gupta3,2649506809.0,23186180697.9791
opsparse,gupta3,2640953747.0,23261272070.28287
