algorithm,matrix,time_ns,flops
proposal,m133-b3,1302464.0,4918677214.878876
proposal,m133-b3,1308981.0,4894188685.702848
proposal,m133-b3,1301625.0,4921847690.387016
proposal,m133-b3,1305601.0,4906858986.780801
proposal,m133-b3,1294462.0,4949083093.980356
proposal,m133-b3,1258306.0,5091289400.193593
proposal,m133-b3,1306198.0,4904616298.600978
proposal,m133-b3,1302008.0,4920399874.6551485
proposal,m133-b3,1313844.0,4876073567.333717
proposal,m133-b3,1298819.0,4932480969.249757
proposal,webbase-1M,16560236.0,8396522247.629805
proposal,webbase-1M,16478387.0,8438228207.651634
proposal,webbase-1M,16502818.0,8425736137.912931
proposal,webbase-1M,16528366.0,8412712424.204547
proposal,webbase-1M,16468878.0,8443100373.929542
proposal,webbase-1M,16477819.0,8438519078.283358
proposal,webbase-1M,16472621.0,8441181885.991306
proposal,webbase-1M,16522426.0,8415736889.970033
proposal,webbase-1M,16467230.0,8443945338.712097
proposal,webbase-1M,16519315.0,8417321783.621173
proposal,mc2depi,1812814.0,9258180927.552412
proposal,mc2depi,1785550.0,9399546358.264961
proposal,mc2depi,1807327.0,9286288535.500216
proposal,mc2depi,1771761.0,9472699760.294983
proposal,mc2depi,1858537.0,9030414783.240797
proposal,mc2depi,1783071.0,9412614528.52971
proposal,mc2depi,1786210.0,9396073250.06578
proposal,mc2depi,1818344.0,9230024681.798384
proposal,mc2depi,1799610.0,9326109545.95718
proposal,mc2depi,1808817.0,9278639022.079071
proposal,mario002,2078791.0,12343101350.73704
proposal,mario002,2086975.0,12294698307.358736
proposal,mario002,2127874.0,12058386915.766628
proposal,mario002,2163917.0,11857537973.96111
proposal,mario002,2224353.0,11535366913.435053
proposal,mario002,2155323.0,11904817978.558203
proposal,mario002,2149737.0,11935752140.843275
proposal,mario002,2156257.0,11899661311.244438
proposal,mario002,2157300.0,11893908125.898113
proposal,mario002,2179253.0,11774093232.864656
proposal,majorbasis,3548494.0,10809128604.980028
proposal,majorbasis,3507281.0,10936143411.377645
proposal,majorbasis,3577654.0,10721027802.017746
proposal,majorbasis,3552684.0,10796380426.742147
proposal,majorbasis,3629854.0,10566851449.121645
