algorithm,matrix,time_ns,flops
proposal,m133-b3,1169977.0,5475663196.797886
proposal,m133-b3,1131380.0,5662465307.854125
proposal,m133-b3,1164176.0,5502948007.861354
proposal,m133-b3,1174376.0,5455152353.249726
proposal,m133-b3,1247605.0,5134958580.640508
proposal,m133-b3,1136113.0,5638875710.426692
proposal,m133-b3,1157199.0,5536126457.074367
proposal,m133-b3,1083857.0,5910742837.84669
proposal,m133-b3,1160042.0,5522558665.979335
proposal,m133-b3,1151330.0,5564347320.055935
proposal,webbase-1M,12453935.0,11165016518.87536
proposal,webbase-1M,12459181.0,11160315433.2536
proposal,webbase-1M,12521698.0,11104595399.122387
proposal,webbase-1M,12475118.0,11146058097.406372
proposal,webbase-1M,12544629.0,11084296713.756939
proposal,webbase-1M,12583008.0,11050488881.513865
proposal,webbase-1M,12482558.0,11139414693.686983
proposal,webbase-1M,12485318.0,11136952218.597876
proposal,webbase-1M,12527681.0,11099292039.763783
proposal,webbase-1M,12444647.0,11173349473.070631
proposal,mc2depi,1561776.0,10746329819.38511
proposal,mc2depi,1573529.0,10666063351.867046
proposal,mc2depi,1556195.0,10784869505.428305
proposal,mc2depi,1556813.0,10780588291.593145
proposal,mc2depi,1632031.0,10283726228.239538
proposal,mc2depi,1547696.0,10844093413.693645
proposal,mc2depi,1540729.0,10893129161.585197
proposal,mc2depi,1555099.0,10792470447.219114
proposal,mc2depi,1556593.0,10782111958.617313
proposal,mc2depi,1538169.0,10911258775.856228
proposal,mario002,1943789.0,13200366912.252308
proposal,mario002,1960616.0,13087074674.490057
proposal,mario002,1939836.0,13227266634.911406
proposal,mario002,1934652.0,13262709779.329823
proposal,mario002,2013882.0,12740929210.350956
proposal,mario002,1939003.0,13232949098.06741
proposal,mario002,1945985.0,13185470597.1526
proposal,mario002,1936229.0,13251907703.066114
proposal,mario002,1956436.0,13115035707.787016
proposal,mario002,1961513.0,13081089954.540195
proposal,majorbasis,2771228.0,13840841677.407993
proposal,majorbasis,2771998.0,13836996996.39033
proposal,majorbasis,2789585.0,13749761344.429369
proposal,majorbasis,2743822.0,13979087564.71812
proposal,majorbasis,2847005.0,13472448415.088839
proposal,majorbasis,2777908.0,13807558781.644318
proposal,majorbasis,2767875.0,13857608454.139006
proposal,majorbasis,2767965.0,13857157875.912449
proposal,majorbasis,2808504.0,13657138462.327274
proposal,majorbasis,2773874.0,13827638890.591282
proposal,shipsec1,15777939.0,57122706330.65573
proposal,shipsec1,15762379.0,57179095617.48261
proposal,shipsec1,15771957.0,57144371874.71409
proposal,shipsec1,15716105.0,57347451929.08802
proposal,shipsec1,15760608.0,57185520761.6356
proposal,shipsec1,15671489.0,57510717456.39486
proposal,shipsec1,15780439.0,57113656723.99862
proposal,shipsec1,15779119.0,57118434558.989
proposal,shipsec1,15768802.0,57155805241.26057
proposal,shipsec1,15766960.0,57162482558.46403
proposal,rma10,5947081.0,52624223211.35361
proposal,rma10,5948358.0,52612925785.56973
proposal,rma10,6000795.0,52153176037.50837
proposal,rma10,5979756.0,52336670258.786476
proposal,rma10,6063205.0,51616351088.24458
proposal,rma10,5989088.0,52255120980.02233
proposal,rma10,6032631.0,51877948112.52338
proposal,rma10,6014425.0,52034985555.56017
proposal,rma10,5998689.0,52171485802.981285
proposal,rma10,5993489.0,52216750210.103
proposal,pdb1HYS,16417925.0,67648336680.79249
proposal,pdb1HYS,16399702.0,67723506073.46402
proposal,pdb1HYS,16372551.0,67835813612.67405
proposal,pdb1HYS,16369057.0,67850293269.79557
proposal,pdb1HYS,16409474.0,67683176072.554184
proposal,pdb1HYS,16404402.0,67704102715.84421
proposal,pdb1HYS,16413227.0,67667699837.45427
proposal,pdb1HYS,16374948.0,67825883660.821396
proposal,pdb1HYS,16368446.0,67852825979.937256
proposal,pdb1HYS,16430359.0,67597142460.49037
proposal,pkustk12,190962163.0,28073405065.065166
proposal,pkustk12,191255893.0,28030290047.06276
proposal,pkustk12,190990424.0,28069251021.71615
proposal,pkustk12,191112246.0,28051358645.013252
proposal,pkustk12,190522435.0,28138198811.0744
proposal,pkustk12,190389243.0,28157883657.324062
proposal,pkustk12,190489864.0,28143010034.38167
proposal,pkustk12,190635697.0,28121481120.08634
proposal,pkustk12,190730892.0,28107445510.190346
proposal,pkustk12,190950468.0,28075124455.83532
proposal,SiO2,435575663.0,65482447631.607
proposal,SiO2,434465794.0,65649726482.26479
proposal,SiO2,434478251.0,65647844227.7655
proposal,SiO2,435175441.0,65542670506.537155
proposal,SiO2,434912030.0,65582367408.87576
proposal,SiO2,435308533.0,65522631374.65307
proposal,SiO2,436246473.0,65381756202.76017
proposal,SiO2,435677844.0,65467089811.43416
proposal,SiO2,435536878.0,65488278909.874535
proposal,SiO2,433862769.0,65740972906.5736
proposal,case39,240729542.0,33635836635.28924
proposal,case39,240421711.0,33678903266.768616
proposal,case39,240181881.0,33712532828.402653
proposal,case39,240497296.0,33668318449.61783
proposal,case39,240391559.0,33683127567.71963
proposal,case39,240183444.0,33712313443.219677
